UUID;Aktueller Name;Vorgeschlagener Name;Vorgeschlagener Typ;Status;Sicherheit;Biografie (description_de);Quelle;Quell-URL;Empfohlene Aktion;Prüf-/Bereinigungshinweis
f416a232-c322-4a80-b8e5-7a6f9ea73f36;German Gents;German Gents;vocal_ensemble;Importbereit;Hoch;Die German Gents sind ein Berliner A-cappella-Quartett, das 2018 von ehemaligen Sängern des Staats- und Domchors Berlin gegründet wurde. Bereits 2019 gewann das Ensemble beim Internationalen A-cappella-Wettbewerb Leipzig den ersten Preis, den Publikumspreis und zwei Sonderpreise. Sein Repertoire verbindet romantische Chorliteratur, Volkslieder und Barbershop mit Pop- und Rockmusik der 1950er- und 1960er-Jahre sowie zeitgenössischen Arrangements. Präziser Ensemblesatz und humorvolle Bühnenpräsenz prägen die Auftritte.;German Gents;https://www.german-gents.de/;description_de per UUID aktualisieren;
3e5b7409-f5c7-4df6-bc8f-98f9aac7aa9a;Goldmund Quartett;Goldmund Quartett;string_quartet;Importbereit;Hoch;Das Goldmund Quartett ist ein deutsches Streichquartett mit Florian Schötz und Pinchas Adt an den Violinen, Christoph Vandory an der Viola und Raphael Paratore am Violoncello. Das Ensemble widmet sich dem klassischen und modernen Quartett-Repertoire und gastiert in bedeutenden Konzertsälen und bei internationalen Festivals. Für seine Arbeit stehen ihm Instrumente aus dem sogenannten Paganini-Quartett von Antonio Stradivari als Leihgabe zur Verfügung. Sein Spiel verbindet klangliche Homogenität mit einer lebendigen, detailreichen Interpretation.;Goldmund Quartett;https://www.goldmundquartet.com/;description_de per UUID aktualisieren;
c3650bbe-2fe4-4271-bd5d-9e46dd619922;International Festival Ballet;International Festival Ballet;dance_company;Importbereit;Hoch;Das International Festival Ballet wurde 2009 gegründet und ist eine international tourende Kompanie für klassisches Ballett. Rund 45 Tänzerinnen und Tänzer, ausgebildet an renommierten Ballettschulen, bilden das Ensemble. Zum Repertoire gehören große Werke der klassischen Balletttradition, die in aufwendig ausgestatteten Produktionen gezeigt werden. Mehrmonatige Gastspielreisen führen die Kompanie regelmäßig durch zahlreiche Länder und Kulturmetropolen.;International Festival Ballet;https://www.internationalfestivalballet.com/about-us/;"description_de per UUID aktualisieren; Typ auf Tanzkompanie prüfen";"Inhaltlich eine Tanzkompanie; falls das Datenmodell dies unterstützt, den Typ entsprechend präzisieren."
a7daa602-5fcf-4423-8ee5-fda2141786cf;Jewish Chamber Orchestra Munich;Jewish Chamber Orchestra Munich;chamber_orchestra;Importbereit;Hoch;Das Jewish Chamber Orchestra Munich wurde 2005 von Daniel Grossmann zunächst als Orchester Jakobsplatz München gegründet. Das professionelle Ensemble macht jüdische Musik- und Kulturgeschichte hörbar und versteht seine Arbeit zugleich als Beitrag zum gesellschaftlichen Dialog. Ein besonderer Schwerpunkt liegt auf Werken jüdischer Komponisten des 20. Jahrhunderts, die verfolgt, verdrängt oder vergessen wurden. Mit Konzerten, Opernprojekten und Gastspielen verbindet das Orchester historische Recherche mit lebendiger Gegenwartskultur.;Jewish Chamber Orchestra Munich;https://jcom.de/en/products/daniel-grossmann;description_de per UUID aktualisieren;
4f01222a-1e35-4822-a8a6-eb212e65a1b0;Kammerorchester des Symphonieorchesters;Kammerorchester des Symphonieorchesters des Bayerischen Rundfunks;chamber_orchestra;Prüfung empfohlen;Mittel;Das Kammerorchester des Symphonieorchesters des Bayerischen Rundfunks ist eine flexibel besetzte Formation aus Mitgliedern des BRSO. In kleineren Besetzungen erarbeiten die Musikerinnen und Musiker Programme vom Barock und der Klassik bis zur Musik des 20. und 21. Jahrhunderts. Solistische Impulse und die enge kammermusikalische Zusammenarbeit prägen die Projekte, die häufig ohne groß besetzten Orchesterapparat auskommen. Leitung und Besetzung richten sich nach dem jeweiligen Programm.;Symphonieorchester des Bayerischen Rundfunks;https://www.brso.de/konzerte/ray-chen-kammerorchester/;Namen vervollständigen, dann description_de aktualisieren;Der gespeicherte Name ist abgeschnitten. Vor Import auf die vollständige Bezeichnung vereinheitlichen.
6bd1622f-b1fc-486f-bbe9-b2fa5e9da9fd;Kanze Nō-Theater Ensemble Tokio;Kanze-Nō-Ensemble Tokio;theatre_ensemble;Prüfung empfohlen;Mittel;Das Kanze-Nō-Ensemble aus Tokio steht in der Tradition der Kanze-Schule, einer der wichtigsten Schulen des japanischen Nō-Theaters. Diese Kunstform verbindet hochstilisierte Bewegung, Maskenspiel, Gesang und instrumentale Begleitung zu einer konzentrierten Form des Musiktheaters. Die künstlerischen Wurzeln der Kanze-Tradition reichen bis zu Kan’ami und Zeami im 14. Jahrhundert zurück. Aufführungen bewahren das klassische Repertoire und vermitteln zugleich eine bis heute lebendige Bühnenpraxis.;The Nohgaku Performers’ Association;https://www.nohgaku.or.jp/en/journey/sanpo/kanze_2025;Offizielle Ensemblebezeichnung bestätigen, dann description_de aktualisieren;"Die Datenbank nennt 1900 als Gründungsjahr; dafür wurde keine belastbare Bestätigung gefunden. Offizielle Bezeichnung des konkreten Tournee-Ensembles prüfen."
5ad753a9-2569-481f-9ed6-23451ecd74e2;Luminosa;Luminosa Frauenvokalensemble;choir;Nicht importieren;Hoch;;Luminosa Frauenvokalensemble;https://www.luminosa.website/deutsch/%C3%BCber-uns/;Mit Frauenvokalensemble Luminosa zusammenführen;"Dublette von „Frauenvokalensemble Luminosa“ (UUID c4774756-dd06-4b79-bbb4-5971f996c9d2). Die hinterlegte Lighting-Website ist falsch; Ereigniszuordnungen auf den Hauptdatensatz übertragen und diese UUID zusammenführen."
fbb55ace-c34d-44c1-87e2-be364888e2a7;Markus-Chor;Markus-Chor München;choir;Importbereit;Hoch;Der Markus-Chor ist der Chor der evangelischen Markuskirche in München und wird von Kirchenmusikdirektor Michael Roth geleitet. Das Ensemble gestaltet Gottesdienste und erarbeitet jährlich mehrere Konzertprogramme. Neben großen oratorischen Werken pflegt der Chor A-cappella-Literatur sowie weniger bekannte und zeitgenössische Kompositionen. Konzertreisen und gemeinsame Projekte ergänzen die regelmäßige kirchenmusikalische Arbeit in St. Markus.;Markus-Chor München;https://www.markus-chor-muenchen.de/;description_de per UUID aktualisieren;
eb42ab1f-238d-4d19-8da3-0f509fdfbf47;Martin Auer Quintett;Martin Auer Quintett;jazz_ensemble;Importbereit;Hoch;Das Martin Auer Quintett wurde 1995 gegründet und zählt zu den beständigen Formationen der deutschen Jazzszene. Martin Auer an der Trompete, Florian Trübsbach am Saxofon, Jan Eschke am Klavier, Andreas Kurz am Bass und Bastian Jütte am Schlagzeug spielen überwiegend eigene Kompositionen und Arrangements. Die Musik bewegt sich zwischen Modern Jazz, Mainstream und zeitgenössischen Einflüssen. Konzertreisen führten das Quintett durch Deutschland, Europa und in den Nahen Osten.;Martin Auer;https://www.martin-auer.com/;description_de per UUID aktualisieren;
9e8df417-9556-4a48-af5a-f8b0a9e21b32;Maxjoseph;Maxjoseph;folk_ensemble;Importbereit;Hoch;Maxjoseph ist ein bayerisches Quartett mit Georg Unterholzner an der Gitarre, Andreas Winkler an der Steirischen Harmonika, Nathanael Turban an der Violine und Florian Mayrhofer an der Tuba. Die Musiker entwickeln eine zeitgenössische Volksmusik, in der sich alpine Klangtraditionen mit Jazz und klassischer Kammermusik verbinden. Eigene Kompositionen und fein abgestimmte Arrangements rücken die ungewöhnliche Besetzung in den Mittelpunkt. Dabei entsteht ein transparenter, experimentierfreudiger Ensembleklang jenseits folkloristischer Klischees.;Maxjoseph;https://www.maxjoseph.de/;description_de per UUID aktualisieren;
00000000-0000-0000-0000-000000000301;Münchner Philharmoniker;Münchner Philharmoniker;symphony_orchestra;Importbereit;Hoch;"Die Münchner Philharmoniker wurden 1893 von Franz Kaim gegründet und sind das Orchester der Landeshauptstadt München. Ihre Geschichte ist eng mit Gustav Mahler und Anton Bruckner verbunden; unter Mitwirkung des Orchesters wurden unter anderem Mahlers Vierte und Achte Symphonie sowie „Das Lied von der Erde“ uraufgeführt. Das Ensemble pflegt die große symphonische Tradition und setzt zugleich Akzente mit zeitgenössischer Musik, Education-Formaten und internationalen Gastspielen. Während der Sanierung des Gasteig spielt es vorwiegend in der Isarphilharmonie.";Münchner Philharmoniker;https://www.mphil.de/ueber-uns/historie;description_de per UUID aktualisieren;
2074a2cc-887c-404b-915a-020cfc2f5485;Neue Philharmonie München;Neue Philharmonie München;youth_orchestra;Importbereit;Hoch;Die Neue Philharmonie München wurde 2005 als internationales Nachwuchsorchester unter dem Dach der Musikwerkstatt Jugend gegründet. Sie bringt Musikstudierende und junge professionelle Musikerinnen und Musiker aus Europa und weiteren Ländern in großen symphonischen Projekten zusammen. Mitglieder des Symphonieorchesters des Bayerischen Rundfunks, des Bayerischen Staatsorchesters und Lehrende von Musikhochschulen begleiten die Probenarbeit. Unter Chefdirigent Fuad Ibrahimov verbindet das Orchester intensive Ausbildungsarbeit mit Konzerten und internationalen Tourneen.;Neue Philharmonie München;https://nphm.info/ueber-uns/;"description_de aktualisieren; Gründungsjahr auf 2005 korrigieren";"Im Datenbestand steht 2006; die offizielle Website nennt 2005."
05507829-77cb-4f95-9f09-97bda6101af2;Nymphenburger Kammerorchester;Nymphenburger Kammerorchester;chamber_orchestra;Importbereit;Hoch;"Das Nymphenburger Kammerorchester wurde 2004 als projektbezogen arbeitendes Ensemble gegründet. Es verbindet klassisches Repertoire mit Werken des 20. und 21. Jahrhunderts und setzt einen besonderen Akzent auf lebendige, programmatisch gedachte Konzertformate. Die Besetzung wird je nach Werk flexibel zusammengestellt; dabei arbeitet das Orchester mit profilierten Solistinnen, Solisten und Dirigenten zusammen. Künstlerische Offenheit und die Begegnung von Tradition und Gegenwart prägen sein Profil.";Nymphenburger Kammerorchester;https://www.nymphenburger-kammerorchester.de/;description_de per UUID aktualisieren;
fde81caa-c8df-4720-a950-30f0506e4b53;Oslo Sinfonietta;Oslo Sinfonietta;contemporary_ensemble;Importbereit;Hoch;Oslo Sinfonietta wurde 1986 vom Komponisten Asbjørn Schaathun gegründet und ist Norwegens ältestes bis heute bestehendes Ensemble für zeitgenössische Musik. Die Formation vereint spezialisierte freischaffende Musikerinnen und Musiker sowie Mitglieder führender norwegischer Orchester. Unter der künstlerischen Leitung von Christian Eggen widmet sie sich neuen Werken, Auftragskompositionen und der Zusammenarbeit mit internationalen Komponistinnen und Komponisten. Konzerte, Festivals und preisgekrönte Einspielungen machen das Ensemble zu einem zentralen Akteur der nordischen Gegenwartsmusik.;Oslo Sinfonietta;https://www.oslosinfonietta.no/about;description_de per UUID aktualisieren;
ba1c0b5a-8bab-4596-a667-bf78d7ba8723;Oxford Philharmonic Orchestra;Oxford Philharmonic Orchestra;symphony_orchestra;Importbereit;Hoch;Das Oxford Philharmonic Orchestra wurde 1998 von seinem Musikdirektor Marios Papadopoulos gegründet. Als Orchestra in Residence der University of Oxford verbindet es eine internationale Besetzung mit dem akademischen und kulturellen Leben der Stadt. Das Repertoire reicht von zentralen Werken der Klassik und Romantik bis zu zeitgenössischer Musik, ergänzt durch Solistenkonzerte, Opernprojekte und Vermittlungsangebote. Neben seiner eigenen Konzertreihe in Oxford gastiert das Orchester international.;Oxford Philharmonic Orchestra;https://oxfordphil.com/about-us/;description_de per UUID aktualisieren;
812acf3e-9ed4-408b-8229-6c4688b96139;Philharmonia Orchestra London;Philharmonia Orchestra;symphony_orchestra;Importbereit;Hoch;"Das Philharmonia Orchestra wurde 1945 vom Produzenten Walter Legge gegründet und gab sein erstes Konzert am 27. Oktober desselben Jahres. Das Londoner Orchester entwickelte früh eine enge Verbindung zur Schallplattenproduktion und arbeitete mit zahlreichen bedeutenden Dirigenten und Solisten zusammen. Seit 1964 ist es selbstverwaltet; seine Londoner Konzertheimat ist die Royal Festival Hall. Symphonische Konzerte, Tourneen, Education-Projekte sowie digitale und audiovisuelle Produktionen prägen das heutige Profil.";Philharmonia Orchestra;https://philharmonia.co.uk/our-story/our-history/;"description_de per UUID aktualisieren; offiziellen Namen verwenden";Der offizielle Name lautet „Philharmonia Orchestra“, ohne den Zusatz London.
7024bbe2-b217-472e-9049-9f76b3e73c8d;Quatuor;Quatuor Ébène;string_quartet;Nicht importieren;Hoch;;Veranstaltungszuordnung im Datenbestand;https://www.quatuorebene.com/quatuor-%C3%A9b%C3%A8ne;Mit Quatuor Ébène zusammenführen;"Abgeschnittener Dubletteneintrag. Die verknüpften Veranstaltungen nennen Quatuor Ébène; auf UUID 0614756f-96fc-4621-8bc1-bff4a19eee75 zusammenführen."
16570433-b6b0-4153-bc54-8be9c9787356;Quatuor Arod;Quatuor Arod;string_quartet;Importbereit;Hoch;Das Quatuor Arod wurde 2013 gegründet und gehört zu den international gefragten französischen Streichquartetten seiner Generation. Das Ensemble tritt in bedeutenden Konzertsälen und bei Festivals in Europa, Nordamerika und Asien auf. Sein Repertoire umfasst die klassischen und romantischen Hauptwerke ebenso wie Musik des 20. und 21. Jahrhunderts. Präzise Ensemblearbeit, klangliche Flexibilität und dramaturgisch durchdachte Programme prägen sein künstlerisches Profil.;Quatuor Arod;https://quatuorarod.com/en/;"description_de aktualisieren; eine falsche Event-Verknüpfung prüfen";Eine verknüpfte Veranstaltung trägt laut Datenbestand den Namen Goldmund Quartett und sollte separat geprüft werden.
0614756f-96fc-4621-8bc1-bff4a19eee75;Quatuor Ébène;Quatuor Ébène;string_quartet;Importbereit;Hoch;Das Quatuor Ébène zählt zu den international profiliertesten französischen Streichquartetten. Den entscheidenden internationalen Durchbruch erzielte das Ensemble 2004 beim ARD-Musikwettbewerb in München. Neben dem klassischen Quartett-Repertoire bezieht es Jazz, Chanson und weitere Stile in seine Programme ein und verbindet diese Offenheit mit ausgefeilter kammermusikalischer Präzision. Seit 2021 gibt das Quartett seine Erfahrung in der Quatuor Ébène Academy an der Hochschule für Musik und Theater München weiter.;Quatuor Ébène;https://www.quatuorebene.com/quatuor-%C3%A9b%C3%A8ne;"description_de aktualisieren; Dublette zusammenführen";Den Datensatz „Quatuor“ auf diese UUID zusammenführen.
264df9c3-5555-410e-bed4-5a557b4c8594;Quatuor Modigliani;Quatuor Modigliani;string_quartet;Importbereit;Hoch;Das Quatuor Modigliani wurde 2003 gegründet und hat sich als eines der führenden französischen Streichquartette etabliert. Das Ensemble gastiert regelmäßig in großen internationalen Konzertsälen und bei renommierten Festivals. Sein Repertoire reicht von den Klassikern der Quartettliteratur bis zu Werken des 20. und 21. Jahrhunderts und wird durch zahlreiche Einspielungen dokumentiert. Eine elegante Klangkultur und präzise abgestimmte Interpretationen kennzeichnen seine Arbeit.;Quatuor Modigliani;https://en.modiglianiquartet.com/2/biography;description_de per UUID aktualisieren;
023c4894-70d6-41cf-a41d-9c1fa6a4beea;Regensburger Domspatzen;Regensburger Domspatzen;choir;Importbereit;Hoch;Die Regensburger Domspatzen gehen auf die 975 von Bischof Wolfgang gegründete Domschule zurück und gehören zu den ältesten Knabenchören der Welt. Als Domchor von St. Peter gestalten sie regelmäßig die Liturgie im Regensburger Dom und treten zugleich international in Konzerten auf. Das Repertoire reicht vom gregorianischen Choral und der Renaissancepolyphonie bis zu romantischen und zeitgenössischen Chorwerken. Seit 2022 gehört auch ein Mädchenchor zur Institution der Domspatzen.;Regensburger Domspatzen;https://domspatzen.de/chor/profil-historie/;description_de per UUID aktualisieren;
d8fda053-52c9-44bc-9674-787558cd295e;Residenz-Solisten;Residenz-Solisten;chamber_ensemble;Importbereit;Hoch;Die Residenz-Solisten sind ein Münchner Kammerensemble, dem Musikerinnen und Musiker aus renommierten Orchestern der Stadt angehören, darunter die Münchner Philharmoniker und das Symphonieorchester des Bayerischen Rundfunks. Je nach Programm musiziert die Formation mit Streichern, Bläsern, Harfe oder Klavier. Das Repertoire reicht vom Barock über Klassik und Romantik bis zu populären Konzertstücken. Regelmäßige Auftritte in historischen Räumen der Münchner Residenz prägen den Namen und das Profil des Ensembles.;Bavaria Klassik;https://www.bavaria-klassik.de/residenz-solisten;description_de per UUID aktualisieren;
9c725d80-0476-4869-9685-a83a48d8ab0f;Royal Scottish National Orchestra;Royal Scottish National Orchestra;symphony_orchestra;Importbereit;Hoch;Das Royal Scottish National Orchestra ist Schottlands nationales Symphonieorchester und blickt auf eine mehr als 130-jährige Geschichte zurück. Von seinem Sitz in Glasgow aus konzertiert es in ganz Schottland und gastiert international. Das Ensemble pflegt ein breites symphonisches Repertoire, arbeitet mit führenden Dirigentinnen, Dirigenten und Solisten zusammen und ist durch zahlreiche Aufnahmen dokumentiert. Umfangreiche Bildungs- und Community-Programme ergänzen die Konzerttätigkeit.;Royal Scottish National Orchestra;https://www.rsno.org.uk/about/;description_de per UUID aktualisieren;
d4f08196-1010-4889-b182-41547f675888;Salut Salon;Salut Salon;chamber_ensemble;Importbereit;Hoch;Salut Salon ist ein Hamburger Kammermusikquartett in der Besetzung zwei Violinen, Violoncello und Klavier. Das Ensemble verbindet klassische Musik mit Tango, Chanson, Filmmusik und Pop und entwickelt daraus virtuos inszenierte Bühnenprogramme. Neben dem gemeinsamen Musizieren gehören szenische Einfälle, Humor und choreografische Elemente zum charakteristischen Stil. Internationale Tourneen haben die Formation weit über den deutschsprachigen Raum hinaus bekannt gemacht.;Salut Salon;https://salutsalon.de/de/biographien;description_de per UUID aktualisieren;
70ce0692-b91b-44eb-998c-1c853190c949;St. Michael;;;Nicht importieren;Niedrig;;Verknüpfte Website im Datenbestand;https://www.st-michaelis.de/en/;Entität identifizieren oder löschen;„St. Michael“ bezeichnet kein eindeutig identifizierbares Ensemble. Die hinterlegte Website verweist auf St. Michaelis in Hamburg, während verknüpfte Münchner Veranstaltungen einen anderen Ort nahelegen.
7ed2ce85-05cf-4f59-bf2a-772bdb181d87;Staatliches Sinfonieorchester Litauen;Lithuanian State Symphony Orchestra;symphony_orchestra;Importbereit;Hoch;Das Litauische Staatliche Symphonieorchester wurde 1988 auf Initiative des Dirigenten Gintaras Rinkevičius gegründet. Seine Entwicklung ist eng mit der kulturellen Aufbruchsstimmung und der Wiedererlangung der litauischen Unabhängigkeit verbunden. Das Orchester erarbeitet ein breites symphonisches Repertoire und ist außerdem regelmäßig in konzertanten und szenischen Opernproduktionen zu erleben. Gastspiele und die Zusammenarbeit mit internationalen Solistinnen, Solisten und Dirigenten ergänzen seine Tätigkeit in Vilnius.;Lithuanian State Symphony Orchestra;https://lvso.lt/en/artistic-director;description_de per UUID aktualisieren;Die offizielle englische Bezeichnung lautet Lithuanian State Symphony Orchestra.
3ca9d75c-996c-40ce-92de-4f4bca773deb;Studierende der Abteilung „Alte Musik“ der HMTM;;project;Nicht importieren;Hoch;;Entitätsname und Veranstaltungszuordnung;https://hmtm.de/;Nur als veranstaltungsbezogene Mitwirkende führen;Dies ist eine wechselnde Studierendengruppe und kein dauerhaftes Ensemble mit eigenständiger Biografie. Als Mitwirkendenbezeichnung an der Veranstaltung belassen, aber nicht als Ensembleprofil ausbauen.
ce6e6ff0-4f6e-42c7-885d-0a16635b0335;Stuttgarter Philharmoniker;Stuttgarter Philharmoniker;symphony_orchestra;Importbereit;Hoch;Die Stuttgarter Philharmoniker wurden im September 1924 gegründet und sind seit 1976 das Orchester der Landeshauptstadt Stuttgart. Rund 88 Musikerinnen und Musiker gestalten jährlich mehr als 120 Veranstaltungen. Das Programm reicht von der großen Symphonik über Familien-, Film- und Crossover-Konzerte bis zu internationalen Gastspielen. Darüber hinaus wirken die Philharmoniker als Festivalorchester bei den Opernfestspielen Heidenheim mit.;Stuttgarter Philharmoniker;https://www.stuttgarter-philharmoniker.de/geschichte.html;description_de per UUID aktualisieren;
f96c440f-fb7f-40bf-977b-21dbbc65f688;The Jackson Five;The Jackson 5;vocal_group;Importbereit;Hoch;The Jackson 5 waren eine amerikanische Familiengruppe aus Gary, Indiana, bestehend aus Jackie, Tito, Jermaine, Marlon und Michael Jackson. Mit einer energiegeladenen Mischung aus Soul, Pop und Funk wurden sie Ende der 1960er- und zu Beginn der 1970er-Jahre zu einem der erfolgreichsten Motown-Acts. Mehrere ihrer frühen Singles erreichten unmittelbar die Spitze der US-Charts. Präziser Harmoniegesang, markante Choreografien und Michael Jacksons jugendliche Leadstimme prägten ihren unverwechselbaren Stil.;Motown;https://classic.motown.com/artist/the-jackson-5/;"description_de per UUID aktualisieren; Schreibweise prüfen";Die etablierte Schreibweise lautet „The Jackson 5“.
2c0006bd-ac19-45f3-82b8-2e91085e4451;The Kanneh-Masons;The Kanneh-Masons;family_ensemble;Importbereit;Hoch;The Kanneh-Masons sind sieben britische Geschwister, die Violine, Viola, Violoncello und Klavier spielen. Als Solistinnen und Solisten verfolgen sie eigene internationale Karrieren, treten aber regelmäßig auch gemeinsam als Familienensemble auf. Ihre Programme verbinden zentrale Werke der klassischen Musik mit eigenen Arrangements und einem offenen, publikumsnahen Zugang. Gemeinsame Aufnahmen und Dokumentarfilme haben die musikalische Arbeit der Familie einem weltweiten Publikum bekannt gemacht.;The Kanneh-Masons;https://www.kannehmasons.com/;description_de per UUID aktualisieren;
71370dc3-ba3c-4130-823d-46218b4ac21c;The New Entertainment Production;The New Entertainment Production;producer;Nicht importieren;Mittel;;Entitätsname und Veranstaltungszuordnung;;In Produzent/Veranstalter überführen;"Der Name bezeichnet eine Produktionsgesellschaft und kein aufführendes Ensemble. Keine Ensemble-Biografie importieren; als Produzent oder Veranstalter modellieren."
